EC Numbers,Occurrence
3.1.1.10,1
3.1.1.11,1
1.14.13.106,1
2.7.1.156,1
3.1.1.15,1
1.14.11.39,2
3.5.99.-,1
2.4.1.11,1
2.4.1.12,2
3.1.3.15,1
2.7.7.60,1
2.1.1.182,1
1.1.1.108,3
4.1.2.25,1
4.3.3.7,2
4.3.3.6,2
1.1.1.163,1
3.2.2.-,7
1.1.1.301,1
3.1.1.83,1
2.7.2.3,1
3.2.2.9,2
4.3.1.3,1
1.1.1.381,2
6.3.2.2,4
1.1.1.302,2
1.1.1.385,5
2.3.1.183,2
2.3.1.180,5
2.3.1.181,2
2.3.1.189,11
1.1.1.267,1
3.5.1.107,1
6.3.2.1,1
4.3.1.17,1
3.5.1.100,1
3.5.1.103,2
1.1.1.261,2
3.5.99.10,4
2.3.1.20,2
4.3.1.19,2
1.3.8.12,1
2.7.2.1,1
2.7.7.85,1
6.3.2.49,2
2.5.1.54,2
2.4.2.-,2
1.2.1.46,1
4.2.1.1,4
3.2.1.132,2
2.7.3.9,1
2.7.7.12,1
2.4.2.9,1
2.4.2.8,1
3.6.1.27,3
5.4.99.28,1
3.6.1.22,4
3.6.1.23,1
4.1.2.50,1
2.7.9.1,2
2.4.2.4,1
2.4.2.7,1
2.3.1.233,3
3.2.1.91,2
3.1.11.-,1
2.7.11.1,34
1.4.3.16,1
2.7.7.71,2
2.7.7.72,1
2.7.7.75,1
2.7.7.77,1
1.-.-.-,53
2.3.1.16,2
4.2.1.96,1
2.3.1.12,3
1.1.1.312,2
2.7.11.-,1
4.2.1.9,1
3.1.11.2,2
2.3.1.18,1
5.4.2.2,2
1.1.1.76,1
6.2.1.44,1
2.5.1.-,5
1.6.99.1,1
1.1.1.79,2
1.6.99.3,2
1.6.99.-,6
2.5.1.6,1
2.5.1.3,1
1.3.1.86,1
1.17.1.8,1
3.1.31.-,1
1.1.1.103,1
2.5.1.9,1
3.5.4.23,1
5.4.99.-,2
3.5.1.97,1
3.5.1.91,1
3.5.4.25,1
2.7.1.-,6
2.1.1.163,12
3.5.4.28,1
1.1.1.85,1
1.17.7.3,2
2.1.1.164,2
1.1.1.86,1
2.7.1.5,1
4.1.1.11,1
2.7.1.6,1
2.7.1.2,8
5.4.99.5,3
2.1.1.10,1
2.7.1.8,2
2.7.1.107,3
3.1.2.30,1
6.3.5.4,1
5.3.3.17,1
1.9.3.1,6
6.3.4.14,1
2.8.3.16,1
2.4.2.22,1
6.2.1.30,1
1.1.1.81,2
2.4.1.266,1
2.8.3.19,2
2.6.1.76,2
5.4.99.25,1
3.6.3.14,2
2.7.1.71,2
1.3.1.34,1
1.1.3.45,2
3.8.1.2,2
4.1.1.20,3
3.2.1.93,1
4.1.1.23,1
3.2.1.97,1
3.2.1.96,1
2.4.1.157,1
1.1.1.49,3
2.1.1.13,1
3.2.2.28,1
2.6.1.42,2
4.2.99.20,2
2.1.1.302,1
3.2.1.31,1
2.7.2.11,1
4.-.-.-,2
4.1.99.18,2
3.4.21.81,1
5.3.1.23,1
3.4.21.82,1
4.1.99.13,1
4.1.1.7,1
5.1.3.13,1
4.1.99.17,1
2.6.1.48,2
4.1.99.14,1
1.1.1.37,1
2.7.8.11,1
1.10.9.1,2
3.5.2.-,1
4.1.3.4,1
1.1.1.107,2
3.1.21.-,1
3.5.2.5,1
3.1.21.2,1
4.1.3.-,1
3.5.2.6,5
1.5.1.38,1
3.5.2.3,1
3.5.4.16,2
1.5.1.36,2
4.1.3.41,1
3.2.1.39,7
3.5.1.25,1
4.1.3.27,4
4.1.3.24,1
4.2.1.44,3
4.2.1.41,3
4.2.1.40,1
2.4.2.19,1
5.3.1.22,1
3.5.1.29,2
3.5.1.28,6
4.2.1.49,1
2.1.1.174,1
1.6.1.2,2
2.7.7.9,1
2.7.7.8,1
4.1.2.13,2
2.7.7.3,1
2.7.7.7,13
2.7.7.6,4
3.5.-.-,1
2.7.7.4,1
2.6.1.82,1
2.7.7.33,2
3.4.23.36,1
5.3.1.29,3
3.4.21.88,1
1.1.1.95,2
2.4.1.57,4
2.4.1.52,1
1.3.3.4,2
3.2.1.151,1
4.2.99.-,2
1.1.1.90,2
1.3.-.-,5
3.6.3.40,2
4.2.1.-,1
6.4.-.-,1
1.2.1.12,2
1.2.1.11,2
1.15.1.1,2
1.11.1.18,1
1.11.1.19,1
1.11.1.15,10
1.2.1.19,2
3.5.3.18,1
1.11.1.10,2
2.2.1.1,3
2.2.1.2,2
2.2.1.5,1
2.2.1.6,4
2.2.1.7,2
3.6.-.-,4
2.1.3.12,1
1.5.5.2,1
2.7.7.41,1
2.7.7.42,1
2.5.1.90,1
1.8.4.8,1
2.3.1.29,1
2.7.7.47,1
6.6.1.1,2
2.5.1.99,2
3.2.1.170,1
2.7.-.-,9
3.6.3.32,2
1.6.5.-,2
1.1.1.100,24
2.1.1.63,4
1.1.1.23,1
1.1.1.22,1
3.2.1.99,1
1.14.21.7,2
1.1.1.25,1
1.4.99.5,4
3.5.4.3,2
3.4.11.9,2
1.6.5.5,3
1.6.5.2,8
3.5.4.5,1
3.5.4.4,2
3.1.21.3,1
6.1.1.11,1
6.1.1.10,2
6.1.1.17,1
3.1.1.95,1
3.1.1.96,1
6.1.1.14,1
4.1.1.64,1
1.3.7.9,2
6.1.1.19,2
3.5.2.7,1
1.3.5.2,1
3.1.3.97,1
1.3.5.1,6
1.14.-.-,2
3.6.1.40,1
1.3.5.4,1
1.3.5.5,2
3.1.21.7,1
4.2.3.37,1
2.5.1.113,1
3.1.11.6,2
6.1.1.9,1
6.1.1.7,2
6.1.1.6,1
6.1.1.5,1
6.1.1.4,1
2.3.1.102,2
6.1.1.2,2
3.6.3.-,76
4.2.1.33,2
2.3.2.10,1
2.3.2.13,1
2.3.2.16,2
3.6.3.4,1
3.5.1.13,1
1.14.19.-,3
3.6.5.-,2
4.1.-.-,2
2.4.1.250,4
3.6.4.12,22
3.6.4.13,7
3.4.-.-,18
1.8.98.-,1
2.7.1.33,3
6.4.1.8,1
2.7.1.148,1
6.4.1.2,1
6.4.1.3,3
2.7.1.144,2
6.4.1.7,1
3.1.3.1,3
1.13.11.-,1
5.4.99.61,1
3.1.3.2,1
4.2.1.46,3
2.1.1.271,1
3.4.19.3,2
3.4.25.1,2
5.3.1.16,1
2.7.1.23,2
1.13.11.2,1
1.13.11.3,2
2.4.-.-,8
2.7.7.-,1
1.1.3.17,1
5.3.3.18,1
6.3.2.38,3
3.5.1.115,2
5.3.1.28,1
1.1.1.157,3
1.13.11.27,1
1.13.11.24,6
3.5.1.118,2
1.13.11.20,1
2.1.2.2,1
3.5.1.18,5
3.4.17.-,1
3.4.11.5,3
3.1.3.-,7
2.3.1.79,1
3.5.1.10,1
3.5.1.11,2
3.4.11.2,6
3.4.11.-,4
3.1.3.5,2
3.8.1.5,5
4.1.2.48,2
3.8.1.3,5
3.1.3.25,2
3.6.1.31,1
3.1.3.3,32
4.2.1.2,2
4.1.2.42,1
2.3.1.1,1
5.3.1.5,2
3.1.3.8,1
3.6.1.1,3
1.14.13.59,2
6.3.2.31,2
3.6.1.7,1
3.6.1.8,1
2.7.1.63,1
2.1.1.230,1
2.7.8.33,1
2.5.1.15,1
1.4.4.2,1
4.1.2.17,1
1.1.1.329,1
1.1.1.328,1
3.2.1.177,1
3.1.1.17,1
4.1.99.3,2
4.2.1.148,1
4.4.1.8,2
2.7.8.35,1
2.3.1.178,1
3.1.1.2,1
3.1.1.3,8
3.1.1.1,7
1.1.1.44,1
1.1.1.69,2
3.5.1.111,1
3.2.1.18,2
3.2.1.10,2
3.1.1.-,14
3.2.1.14,11
3.2.1.17,3
3.4.21.4,1
3.4.13.-,2
1.13.12.21,2
1.11.1.21,1
3.5.1.81,1
3.5.4.32,2
2.1.1.156,2
1.3.1.-,4
2.1.1.151,1
3.5.1.88,4
2.4.1.18,2
2.5.1.68,1
3.4.21.-,13
2.5.1.61,3
1.1.1.14,1
1.3.1.9,1
1.3.1.54,1
4.1.1.86,2
1.14.15.13,1
2.4.1.25,1
2.1.1.189,1
3.4.11.1,1
3.1.1.29,2
2.7.1.48,1
5.4.99.18,1
5.1.3.3,2
2.1.2.9,1
3.5.99.4,1
5.4.99.12,1
2.7.1.40,2
1.14.13.166,2
2.1.2.1,3
6.2.1.25,1
2.7.1.45,2
6.2.1.5,4
1.18.1.-,1
6.2.1.1,4
5.4.3.8,2
1.3.1.28,2
3.1.26.11,4
1.7.1.15,1
3.5.4.40,2
4.1.1.32,1
3.1.1.45,2
2.4.2.45,1
4.1.1.37,1
3.1.3.48,1
3.1.1.41,1
2.6.1.39,2
1.18.1.5,1
1.18.1.3,1
1.18.1.2,2
5.4.99.15,1
1.14.14.-,1
1.13.11.11,1
4.6.1.1,1
2.8.3.5,2
4.2.2.23,1
1.14.13.195,2
2.3.1.174,3
3.4.21.92,5
2.4.2.28,1
2.3.1.179,5
2.7.8.31,1
1.1.98.3,1
1.1.98.2,5
1.1.1.292,3
1.1.1.291,1
2.4.99.-,2
2.1.1.37,1
1.1.1.298,2
2.6.1.83,1
1.2.4.4,5
4.2.1.6,1
2.1.2.10,2
1.2.4.1,3
1.14.13.162,1
4.3.99.3,1
1.1.98.-,3
1.5.1.20,1
3.6.1.-,9
2.1.1.316,1
2.3.1.61,1
3.2.1.8,3
4.2.3.5,1
3.2.1.4,6
3.5.1.110,1
3.2.1.1,4
6.3.2.-,5
3.2.1.-,7
3.2.1.23,6
6.3.2.6,1
4.2.1.3,2
6.3.2.4,1
3.1.-.-,14
2.3.1.182,1
6.3.2.8,1
6.3.2.9,1
4.2.1.8,1
2.1.1.208,1
6.3.4.4,1
6.3.4.5,1
1.20.4.1,1
5.2.1.8,8
1.14.13.13,1
6.3.4.2,1
4.99.1.1,1
1.1.1.362,1
1.1.1.361,1
4.2.-.-,2
4.99.1.4,1
1.1.1.169,2
1.1.1.203,1
1.1.1.205,4
3.2.2.24,4
3.2.2.27,2
3.2.2.26,1
3.2.2.20,1
3.2.2.23,1
2.5.1.30,1
2.3.1.89,1
2.1.1.144,5
1.12.1.3,1
1.2.7.3,1
3.1.3.82,1
3.2.1.55,11
3.5.1.46,1
1.2.1.20,2
3.2.1.52,8
3.2.1.58,2
1.2.1.28,2
3.6.1.41,1
3.4.24.77,2
3.4.24.75,5
2.3.1.210,1
2.1.1.297,4
4.2.1.129,1
1.1.1.264,1
1.17.1.-,1
6.3.4.13,1
2.7.7.53,1
4.2.1.118,1
6.3.2.39,1
2.7.7.56,1
2.3.1.39,1
2.4.1.289,1
3.2.1.165,1
4.2.1.70,1
1.1.99.28,2
1.3.1.103,9
3.5.1.87,1
3.6.3.43,1
3.1.3.71,1
1.1.1.18,2
3.1.3.73,1
1.1.1.-,23
5.1.1.8,1
1.1.1.60,2
1.1.1.1,9
1.1.1.2,1
1.1.1.3,2
1.16.1.1,1
2.7.1.89,1
4.2.3.4,1
3.2.1.21,9
3.2.1.22,3
2.3.2.-,7
4.2.3.1,2
6.1.1.20,2
3.1.1.84,1
3.2.1.28,5
4.1.1.76,2
3.1.1.88,3
1.8.-.-,3
2.4.2.10,1
3.4.11.18,3
5.99.1.2,1
5.99.1.3,5
2.5.1.104,1
2.4.2.1,1
1.1.1.347,1
2.3.2.2,3
2.3.2.3,1
1.2.1.16,1
