EC Numbers,Occurrence
2.1.1.265,1
4.3.3.7,3
4.3.3.6,2
2.1.1.188,1
2.1.1.189,1
3.2.2.-,6
1.14.11.-,3
3.5.99.5,1
3.1.3.10,1
4.2.1.126,1
4.3.1.7,2
1.1.1.37,1
4.3.1.3,1
1.3.7.9,1
4.3.1.1,2
2.1.1.207,1
6.2.1.26,1
2.7.2.1,1
1.1.1.385,8
2.3.1.183,2
2.3.1.180,4
2.3.1.181,1
2.7.7.18,1
2.3.1.189,6
1.1.1.266,1
1.1.1.267,1
3.5.1.107,1
4.3.1.17,1
3.5.1.100,1
3.5.1.103,1
3.5.99.10,3
6.3.2.6,1
4.3.1.19,3
3.4.11.18,3
1.1.1.268,2
5.1.3.1,1
2.7.7.85,1
2.7.7.87,2
2.4.2.-,5
1.14.13.22,1
3.1.-.-,18
1.2.1.41,1
2.7.3.9,2
2.4.2.9,2
2.4.2.8,1
3.6.1.27,1
3.6.1.22,1
3.6.1.23,2
2.3.1.234,1
2.4.2.4,1
1.2.1.32,1
3.1.11.-,1
2.7.11.1,13
2.7.7.71,1
2.7.7.72,1
4.2.1.130,1
1.-.-.-,91
4.2.1.132,1
2.3.1.16,8
4.2.1.96,1
2.3.1.12,3
1.1.1.312,1
1.1.1.313,3
2.7.11.-,2
3.1.11.5,5
3.1.11.2,2
2.3.1.18,1
5.4.2.2,2
5.3.1.16,1
4.1.2.9,1
6.3.4.5,1
6.2.1.44,1
2.5.1.-,2
6.2.1.41,5
2.6.1.21,1
1.6.99.3,1
6.2.1.42,5
1.6.99.-,1
2.5.1.6,1
1.14.13.70,1
1.17.1.4,4
1.3.1.84,2
1.17.1.8,1
3.1.31.-,1
1.6.-.-,1
2.5.1.9,1
2.4.2.29,1
1.1.1.88,1
5.4.99.-,2
3.5.1.91,5
2.7.1.-,7
2.1.1.163,3
1.17.7.4,1
1.1.1.85,1
3.1.13.1,1
2.3.1.247,3
1.1.1.86,1
3.1.13.-,3
2.7.1.6,1
5.4.99.9,1
2.7.1.2,2
5.4.99.5,1
5.4.99.2,2
2.7.1.107,3
5.3.3.17,1
1.9.3.1,7
2.8.1.13,1
6.2.1.30,1
2.7.7.68,1
2.8.3.18,1
2.8.3.19,11
1.13.11.6,1
4.2.99.20,1
5.4.99.25,1
3.6.3.14,2
2.7.1.71,1
1.3.1.34,2
1.3.1.32,1
5.4.99.28,3
4.1.1.20,2
2.6.1.102,1
3.1.1.57,1
4.1.99.17,1
3.11.1.1,1
1.1.1.49,1
2.1.1.208,1
2.1.1.14,2
2.1.1.13,2
2.1.1.11,1
1.1.1.205,2
1.1.3.41,1
2.1.1.307,1
2.7.2.11,1
5.1.3.13,1
4.-.-.-,1
5.3.1.24,1
4.1.99.18,1
3.4.21.81,1
1.1.1.163,1
5.3.1.22,1
5.3.1.13,1
5.3.1.29,4
3.4.21.88,2
4.1.1.2,1
2.7.8.11,1
3.1.27.3,1
1.1.1.100,24
4.1.3.1,1
2.1.1.171,1
3.5.2.7,4
3.5.2.6,1
3.5.2.1,1
2.4.1.187,1
3.5.2.3,1
1.7.2.3,1
1.5.1.36,5
5.4.2.-,1
1.3.8.1,3
3.5.1.25,2
4.2.1.46,1
4.1.3.24,2
4.2.1.44,3
3.5.1.23,1
2.4.2.19,1
2.6.1.42,1
3.5.1.24,1
3.5.1.28,2
4.2.1.49,1
2.4.2.18,1
1.6.1.2,3
2.7.7.9,2
2.7.7.8,1
4.1.2.13,1
2.7.7.3,1
2.7.7.7,14
2.7.7.6,4
2.7.7.4,4
2.6.1.36,1
3.4.23.36,1
2.6.1.39,2
1.8.7.1,1
2.4.1.54,1
3.2.2.30,1
5.2.1.8,5
1.3.3.4,1
2.6.1.9,1
4.2.99.-,1
1.1.1.90,1
1.3.-.-,2
3.6.3.40,1
1.2.1.12,2
1.2.1.11,1
1.15.1.1,3
1.11.1.18,4
1.2.1.16,2
1.11.1.15,7
1.2.1.19,1
1.5.3.1,1
1.5.3.6,1
1.13.12.16,3
2.2.1.1,1
2.2.1.2,1
1.3.99.5,1
2.2.1.5,1
2.2.1.6,4
2.2.1.7,1
2.4.1.109,1
2.2.1.9,1
1.5.5.2,2
4.2.1.108,1
2.7.7.42,1
1.8.4.8,1
6.6.1.1,2
2.5.1.99,1
3.6.3.36,4
2.3.1.20,8
1.14.13.92,2
3.6.3.33,1
4.2.1.106,3
1.1.1.29,2
4.1.3.4,1
2.1.1.63,2
1.11.1.6,3
1.14.14.5,8
1.1.1.23,1
1.1.1.22,3
1.1.1.27,1
2.1.1.164,1
1.4.99.-,1
2.4.1.18,2
1.4.99.6,1
1.4.99.5,1
3.5.4.3,2
3.4.21.12,2
1.14.15.3,4
1.6.5.2,4
3.5.4.5,1
3.5.4.4,1
6.1.1.11,1
6.1.1.10,1
6.1.1.17,2
6.1.1.16,1
6.1.1.15,2
6.1.1.14,1
4.1.1.65,1
6.1.1.19,1
4.1.3.-,1
1.3.5.2,1
1.3.5.1,3
1.2.1.28,1
1.3.5.4,5
1.5.1.38,1
3.1.3.1,1
2.7.1.20,1
6.1.1.9,1
6.1.1.7,1
6.1.1.6,1
1.14.13.-,8
6.1.1.4,1
6.1.1.3,2
6.1.1.2,1
3.6.3.-,57
1.14.13.7,1
3.6.3.2,1
2.3.2.13,1
3.5.1.13,5
1.14.13.9,1
1.14.19.-,5
3.6.5.-,2
4.1.-.-,3
2.4.1.250,4
1.3.99.31,1
3.6.4.12,12
3.6.4.13,8
3.4.-.-,13
1.5.1.3,1
4.1.2.49,1
1.14.13.131,1
6.4.1.8,3
2.7.1.148,1
6.4.1.2,3
6.4.1.3,5
6.4.1.7,1
3.8.1.2,2
1.13.11.-,3
5.4.99.61,1
4.1.3.27,3
3.4.19.-,1
1.6.99.1,1
2.1.3.1,2
3.4.25.1,2
1.13.11.5,1
2.6.1.76,1
2.6.1.77,1
1.13.11.3,2
2.7.7.53,1
2.7.7.-,3
5.3.3.18,4
3.5.1.115,2
1.13.11.29,1
1.1.1.157,4
1.13.11.27,2
1.1.1.159,1
1.13.11.25,3
1.13.11.24,6
3.5.1.118,2
2.7.7.56,1
3.5.1.18,3
3.4.11.5,3
3.1.3.-,7
3.5.1.16,1
3.5.1.10,1
4.2.1.33,2
3.4.11.2,3
3.4.11.-,4
3.1.3.5,2
3.8.1.5,2
3.1.3.7,2
3.8.1.3,3
3.5.3.6,1
3.6.1.31,1
3.1.3.3,6
4.1.2.42,2
3.3.2.8,2
3.8.1.8,1
3.6.1.1,1
6.3.2.31,1
2.7.1.23,1
3.6.1.7,1
5.1.1.13,1
3.6.1.8,1
1.14.13.50,1
1.6.1.1,1
1.4.4.2,1
4.2.1.80,1
4.2.1.84,2
4.1.3.36,2
