Color,Label,DomPorColor,MaxPorColor,VoidFracgtioColor,Surface_graColor,Surface_voColor,Hitblue,Hitred
#4DFFF8,blue(339)&nbsp;red(4),#999999,#969696,#DBDBDB,#BCBCBC,#AAAAAA,339,4
#4DFFFE,blue(325)&nbsp;red(7),#8F8F8F,#8B8B8B,#D7D7D7,#BDBDBD,#B5B5B5,325,7
#4DFEFF,blue(338)&nbsp;red(11),#858585,#818181,#D4D4D4,#BDBDBD,#C0C0C0,338,11
#4DFBFF,blue(439)&nbsp;red(14),#7C7C7C,#787878,#D2D2D2,#C0C0C0,#CBCBCB,439,14
#914DFF,blue(593)&nbsp;red(11),#727272,#6F6F6F,#CFCFCF,#C6C6C6,#D8D8D8,593,11
#814DFF,blue(493)&nbsp;red(3),#696969,#666666,#CCCCCC,#D2D2D2,#E9E9E9,493,3
#6E4DFF,blue(781)&nbsp;red(15),#646464,#616161,#CBCBCB,#D9D9D9,#F4F4F4,781,15
#4DCDFF,blue(993)&nbsp;red(20),#E9E9E9,#ECECEC,#F8F8F8,#D9D9D9,#696969,993,20
#4DD0FF,blue(612)&nbsp;red(8),#CECECE,#D1D1D1,#F3F3F3,#D9D9D9,#787878,612,8
#4DD8FF,blue(786)&nbsp;red(14),#BABABA,#B6B6B6,#EBEBEB,#D7D7D7,#909090,786,14
#4DDDFF,blue(622)&nbsp;red(13),#A8A8A8,#A5A5A5,#E5E5E5,#D4D4D4,#A0A0A0,622,13
#4DE3FF,blue(587)&nbsp;red(9),#9C9C9C,#999999,#E1E1E1,#D2D2D2,#ABABAB,587,9
#4DE5FF,blue(480)&nbsp;red(4),#929292,#8E8E8E,#DDDDDD,#D1D1D1,#B6B6B6,480,4
#4DE8FF,blue(350)&nbsp;red(4),#8A8A8A,#868686,#DADADA,#D2D2D2,#C1C1C1,350,4
#794DFF,blue(441)&nbsp;red(10),#818181,#7D7D7D,#D8D8D8,#D5D5D5,#CECECE,441,10
#664DFF,blue(408)&nbsp;red(6),#787878,#747474,#D4D4D4,#DEDEDE,#DFDFDF,408,6
#5E4DFF,blue(631)&nbsp;red(11),#707070,#6D6D6D,#D1D1D1,#E6E6E6,#EEEEEE,631,11
#4DB8FF,blue(687)&nbsp;red(9),#F1F1F1,#F3F3F3,#FCFCFC,#EEEEEE,#656565,687,9
#4DA7FF,blue(511)&nbsp;red(8),#CDCDCD,#CCCCCC,#F6F6F6,#EEEEEE,#7C7C7C,511,8
#4D94FF,blue(408)&nbsp;red(9),#B7B7B7,#B4B4B4,#EEEEEE,#ECECEC,#959595,408,9
#4D8FFF,blue(406)&nbsp;red(7),#AAAAAA,#A6A6A6,#EAEAEA,#E9E9E9,#A2A2A2,406,7
#4D8AFF,blue(357)&nbsp;red(9),#9F9F9F,#9C9C9C,#E6E6E6,#E7E7E7,#ADADAD,357,9
#4D4DFF,blue(350)&nbsp;red(4),#969696,#929292,#E3E3E3,#E7E7E7,#B9B9B9,350,4
#4D4EFF,blue(318)&nbsp;red(4),#8F8F8F,#8A8A8A,#E0E0E0,#E9E9E9,#C5C5C5,318,4
#4D54FF,blue(297)&nbsp;red(2),#878787,#828282,#DDDDDD,#EDEDED,#D5D5D5,297,2
#4D5CFF,blue(237)&nbsp;red(3),#7F7F7F,#7B7B7B,#D8D8D8,#F3F3F3,#E6E6E6,237,3
#4D5EFF,blue(411)&nbsp;red(5),#797979,#757575,#D5D5D5,#F6F6F6,#F0F0F0,411,5
#4DB2FF,blue(2664)&nbsp;red(31),#FFFFFF,#FFFFFF,#FFFFFF,#F4F4F4,#5D5D5D,2664,31
#4DAFFF,blue(1220)&nbsp;red(29),#E7E7E7,#EAEAEA,#FBFBFB,#F5F5F5,#6B6B6B,1220,29
#4D9FFF,blue(1983)&nbsp;red(52),#C4C4C4,#C0C0C0,#F4F4F4,#F5F5F5,#888888,1983,52
#4D9DFF,blue(607)&nbsp;red(12),#B3B3B3,#AFAFAF,#EFEFEF,#F4F4F4,#9B9B9B,607,12
#4D7FFF,blue(188)&nbsp;red(6),#A8A8A8,#A4A4A4,#EBEBEB,#F2F2F2,#A7A7A7,188,6
#4D7CFF,blue(150)&nbsp;red(1),#9E9E9E,#9B9B9B,#E8E8E8,#F2F2F2,#B2B2B2,150,1
#4D79FF,blue(239)&nbsp;red(1),#969696,#929292,#E5E5E5,#F3F3F3,#BEBEBE,239,1
#4D74FF,blue(337)&nbsp;red(7),#8F8F8F,#8B8B8B,#E2E2E2,#F6F6F6,#CBCBCB,337,7
#4D6FFF,blue(452)&nbsp;red(9),#888888,#838383,#DEDEDE,#FBFBFB,#DDDDDD,452,9
#4D69FF,blue(3804)&nbsp;red(52),#838383,#7E7E7E,#DADADA,#FFFFFF,#EAEAEA,3804,52
