RunName.reactor,SampleTimeID,RunName,Reactor,CatalystID,origin,support,catalyst,ActualTempBlock,reactorPressure,ratioCat2support,ratioPromTot2cat,p1,p2,p3,p4,p5,p6,p7,mass,CatalystBedLength,reductionTemp,meanConvCorrected,sdConvCorrected,ArgonArea,H2flow110,N2flow120,Arflow130,COflow140,CO2H2flow150,flow160,flow170,flow180,diluentN2flow300,ElapsedRunTime
20150213_OAN_FLOW_017#7#400#10,40042,20150213_OAN_FLOW_017,7,OAN-FIS00002,FIS,S2,C1,399.9899902,9.979999542,2,0.9,0,1,0,0,0,0,0,0.0162,1.2,85.02,0.17138431,0.015778275,1967837.4,89.99400024,30.03100033,19.95900002,0,0,0,0,0,640.0119995,64.50734158
20150213_OAN_FLOW_017#9#400#10,39996,20150213_OAN_FLOW_017,9,OAN-KNP00114,KNP,S3,C1,399.9899902,10.52999973,9,0.4,0,0,0,0,0,1,0,0.0129,1.4,85.02,0.644820292,0.031030606,1901014.5,89.98200073,29.83099976,19.94899998,0,0,0,0,0,639.9959961,64.66395168
20150213_OAN_FLOW_017#10#400#10,39997,20150213_OAN_FLOW_017,10,OAN-DFK00369,DFK,S3,C2,400,10.51000023,10,0.1,0.5,0,0.5,0,0,0,0,0.0091,0.8,85.02,0,0,1978054.1,90.00599976,30.07199993,20.00099983,0,0,0,0,0,640.0169983,64.74225731
20150213_OAN_FLOW_017#11#400#10,39998,20150213_OAN_FLOW_017,11,OAN-KNP00113,KNP,S3,C1,400.0299988,10.42000008,9,0.7,0,0,0,1,0,0,0,0.0063,1.2,85.02,0,0,2048785.9,90.00599976,30.09799976,19.96299992,0,0,0,0,0,640.0230103,64.82078553
20150213_OAN_FLOW_017#12#400#10,39999,20150213_OAN_FLOW_017,12,OAN-KNP00167,KNP,S1,C1,400,10.06999969,9,0.7,0,0,0,1,0,0,0,0.0057,0.9,85.02,0,0,1977101.5,89.99100037,29.83099995,19.92900009,0,0,0,0,0,639.9819946,64.89909115
20150213_OAN_FLOW_017#13#400#10,40759,20150213_OAN_FLOW_017,13,OAN-KNP00175,KNP,S1,C1,400.0100098,10.5,10,0.3162,0,1,0,0,0,0,0,0.0082,0.7,85.02,0.166494927,0.02225485,2161212.8,90.01499939,30.04299984,20.11199989,0,0,0,0,0,640.0099976,64.97739543
20150213_OAN_FLOW_017#14#400#10,40760,20150213_OAN_FLOW_017,14,OAN-KNP00166,KNP,S1,C1,400,10.14000034,8.2336,0.633,0,0,0,0,0,0,1,0.0095,1.6,85.02,0.039403336,0.035989736,2022563.111,90.01333279,29.96999995,20.05777804,0,0,0,0,0,640.0033366,66.60702112
20150213_OAN_FLOW_017#15#400#10,40002,20150213_OAN_FLOW_017,15,OAN-KNP00161,KNP,S1,C1,400,10.43000031,8.2336,0.633,0,1,0,0,0,0,0,0.015,0.4,85.02,0.436262598,0.039320799,2001794.556,90,29.74444411,20.04444419,0,0,0,0,0,640.0166762,66.68532563
20150213_OAN_FLOW_017#16#400#10,40003,20150213_OAN_FLOW_017,16,OAN-DFK00414,DFK,S1,C2,399.9899902,10.31000042,6,0.3162,1,0,0,0,0,0,0,0.0059,0.9,85.02,0,0,2040166.25,89.97750092,30.03499961,19.98874998,0,0,0,0,0,640.0225067,69.18331385
20150213_OAN_FLOW_017#17#400#10,40052,20150213_OAN_FLOW_017,17,OAN-KNP00148,KNP,S4,C1,400,10.51000023,10,0.3162,0,1,0,0,0,0,0,0.0063,1.3,85.02,0.719453524,0.117912186,2003635.667,89.9966668,30.04888895,19.98000018,0,0,0,0,0,639.976671,66.84193505
20150213_OAN_FLOW_017#18#400#10,40005,20150213_OAN_FLOW_017,18,OAN-KNP00174,KNP,S1,C1,400.019989,9.670000076,9,0.7,0,0,0,0,1,0,0,0.0128,1,85.02,0.328485757,0.035018888,1992715,89.9933336,29.76222208,19.8733334,0,0,0,0,0,639.9877726,66.92023934
20150213_OAN_FLOW_017#19#400#10,40006,20150213_OAN_FLOW_017,19,OAN-KNP00164,KNP,S1,C1,400,10.52999973,8.2336,0.633,0,0,0,0,1,0,0,0.0224,1.3,85.02,0.318616353,0.023868156,2036087.75,90.02249909,29.8349998,20.02125025,0,0,0,0,0,639.9775009,62.05181789
20150213_OAN_FLOW_017#20#400#10,40766,20150213_OAN_FLOW_017,20,OAN-KNP00158,KNP,S1,C1,400,10.68999958,5,0.4,0,0,0,0,0,0,1,0.0173,1.5,85.02,0.0434422,0.013275104,2032664.111,89.9933336,29.89111116,19.95111105,0,0,0,0,0,640.0066732,67.07684793
20150213_OAN_FLOW_017#21#400#10,40767,20150213_OAN_FLOW_017,21,OAN-KNP00136,KNP,S4,C1,400.0299988,10.48999977,8.2336,0.633,0,0,0,1,0,0,0,0.0111,0.8,85.02,0.091477624,0.022994036,1996756.111,90.0033332,29.91444397,19.96111107,0,0,0,0,0,640.003323,67.15515307
20150213_OAN_FLOW_017#22#400#10,40768,20150213_OAN_FLOW_017,22,OAN-KNP00176,KNP,S1,C1,400.019989,10.27000046,10,0.1,0.5,0.5,0,0,0,0,0,0.0146,1.1,85.02,0.11018505,0.008974701,1951569.111,89.9966668,29.9933336,19.99666659,0,0,0,0,0,639.9833306,67.23345777
20150213_OAN_FLOW_017#23#400#10,40769,20150213_OAN_FLOW_017,23,OAN-KNP00156,KNP,S1,C1,400.019989,10.25,5,0.7,0,0,0,0,0,1,0,0.01579,1.2,85.02,0,0,1980624,89.99250031,30.07124972,19.97999978,0,0,0,0,0,640.003746,62.36503649
20150213_OAN_FLOW_017#25#400#10,40771,20150213_OAN_FLOW_017,25,OAN-KNP00159,KNP,S1,C1,399.980011,10.31999969,5,0.4,0.5,0,0,0,0.5,0,0,0.0103,0.8,85.02,0.088353158,0.017837551,1797357.75,89.98875046,29.9449997,19.91000009,0,0,0,0,0,640.0125046,62.52164459
20150213_OAN_FLOW_017#26#400#10,40013,20150213_OAN_FLOW_017,26,OAN-FIS00002,FIS,S2,C1,399.9899902,10.10000038,2,0.9,0,1,0,0,0,0,0,0.0273,1.5,85.02,0.19724721,0.017693043,2158446.75,90.02249909,29.84874987,19.96000004,0,0,0,0,0,639.9812393,62.59994937
20150213_OAN_FLOW_017#28#400#10,40015,20150213_OAN_FLOW_017,28,OAN-KNP00121,KNP,S3,C1,400.0100098,10.5,10,0.3162,0,1,0,0,0,0,0,0.0181,1,85.02,0.147764931,0.037860827,1968233.375,89.98875046,29.87374997,20.02624965,0,0,0,0,0,639.9812469,62.75655842
20150213_OAN_FLOW_017#29#400#10,40016,20150213_OAN_FLOW_017,29,OAN-KNP00122,KNP,S3,C1,400.0299988,10.35999966,10,0.1,0.5,0.5,0,0,0,0,0,0.0047,0.8,85.02,0,0,2161458.143,89.98714338,30.06714276,20.03857122,0,0,0,0,0,640.0042986,58.12232427
20150213_OAN_FLOW_017#30#400#10,40776,20150213_OAN_FLOW_017,30,OAN-DFK00410,DFK,S1,C2,399.9599915,10.35000038,10,0.1,0.5,0,0.5,0,0,0,0,0.0506,1.4,85.02,0,0,1933747.375,89.97750092,30.04250002,19.97749996,0,0,0,0,0,640.0187531,62.91316891
20150213_OAN_FLOW_017#31#400#10,40777,20150213_OAN_FLOW_017,31,OAN-KNP00169,KNP,S1,C1,400.019989,10.38000011,9,0.7,0,0,0,0,0,0,1,0.0112,1.2,85.02,0.046739834,0.026618186,2242369.25,90.00374985,29.92374993,20.01875019,0,0,0,0,0,639.9699936,62.99147368
20150213_OAN_FLOW_017#32#400#10,40019,20150213_OAN_FLOW_017,32,OAN-KNP00107,KNP,S3,C1,399.9899902,10.43000031,8.2336,0.633,0,1,0,0,0,0,0,0.0112,1,85.02,0.089303553,0.032162152,1989095.25,89.99250031,30.03375006,19.93875003,0,0,0,0,0,639.9812469,63.06977845
20150213_OAN_FLOW_017#33#400#10,40020,20150213_OAN_FLOW_017,33,OAN-KNP00131,KNP,S4,C1,400.019989,10.35999966,5,0.4,0,0,0,0,0,0,1,0.0096,1.4,85.02,0.084379666,0.014844055,2093479.875,90.01874924,30.02749992,20.04624986,0,0,0,0,0,639.9850006,63.14808178
20150213_OAN_FLOW_017#34#400#10,40021,20150213_OAN_FLOW_017,34,OAN-KNP00177,KNP,S1,C1,400,10.52999973,10,1,0.3333,0.3333,0.3333,0,0,0,0,0.006,1,85.02,0.49218873,0.073267742,1999077,89.98875046,30.07500005,20.09375,0,0,0,0,0,640.0300064,63.22638702
20150213_OAN_FLOW_017#35#400#10,40781,20150213_OAN_FLOW_017,35,OAN-KNP00163,KNP,S1,C1,400.0100098,10.26000023,8.2336,0.633,0,0,0,1,0,0,0,0.0079,1,85.02,0.046878103,0.043086939,1911751,90,30.1637497,19.79249978,0,0,0,0,0,640.0149994,63.30468989
20150213_OAN_FLOW_017#36#400#10,40023,20150213_OAN_FLOW_017,36,OAN-DFK00411,DFK,S1,C2,400.0100098,10.44999981,10,0.1,0.5,0,0.5,0,0,0,0,0.0095,1.2,85.02,0,0,1958780,90.0074997,30.03125,19.96749997,0,0,0,0,0,640.015007,63.38299608
20150213_OAN_FLOW_017#37#400#10,40168,20150213_OAN_FLOW_017,37,OAN-FIS00002,FIS,S2,C1,399.980011,10.44999981,2,0.9,0,1,0,0,0,0,0,0.04,2.3,85.02,0.188568843,0.00929502,2050373.75,90,30.10625029,19.97749972,0,0,0,0,0,639.9699936,63.46130037
20150213_OAN_FLOW_017#39#400#10,40026,20150213_OAN_FLOW_017,39,OAN-KNP00127,KNP,S4,C1,400.0100098,10.35999966,5,0.4,0,0,0,0,1,0,0,0.0057,1,85.02,0.461422364,0.035721388,2050771.375,90.0074997,30.0462501,20.10750008,0,0,0,0,0,640,63.61790991
20150213_OAN_FLOW_017#40#400#10,40027,20150213_OAN_FLOW_017,40,OAN-DFK00412,DFK,S1,C2,400.019989,10.34000015,6,0.3162,1,0,0,0,0,0,0,0.0036,1.1,85.02,0,0,1994792.125,90.02624893,30.15749979,20.05500007,0,0,0,0,0,639.9774933,63.69621277
20150213_OAN_FLOW_017#41#400#10,40028,20150213_OAN_FLOW_017,41,OAN-KNP00138,KNP,S4,C1,400,10.52000046,8.2336,0.633,0,0,0,0,0,1,0,0.0037,1.1,85.02,0,0,2006633.375,89.98500061,29.85500002,19.8687501,0,0,0,0,0,639.9924927,63.77451754
20150213_OAN_FLOW_017#43#400#10,40030,20150213_OAN_FLOW_017,43,OAN-KNP00105,KNP,S3,C1,399.980011,10.10999966,5,0.4,0.5,0,0,0,0.5,0,0,0.0233,1.4,85.02,0.129554715,0.013804123,2007795.25,89.99625015,29.98249984,20.04874969,0,0,0,0,0,640.015007,63.93112611
20150213_OAN_FLOW_017#44#400#10,40031,20150213_OAN_FLOW_017,44,OAN-KNP00132,KNP,S4,C1,399.9599915,10.57999992,5,0.4,0.5,0,0,0,0.5,0,0,0.0069,1.4,85.02,0.467629516,0.036644476,1993275.375,90,29.94624972,20.0474999,0,0,0,0,0,639.9437332,64.0094309
20150213_OAN_FLOW_017#45#400#10,40032,20150213_OAN_FLOW_017,45,OAN-DFK00398,DFK,S3,C2,399.9700012,10.06999969,9,0.5734,0.6659,0,0,0.3341,0,0,0,0.0062,1.3,85.02,0,0,2033260.25,89.98875046,30.07999993,20.07624984,0,0,0,0,0,640.0187607,64.08773518
20150213_OAN_FLOW_017#46#400#10,40081,20150213_OAN_FLOW_017,46,OAN-KNP00133,KNP,S4,C1,400.0400085,10.30000019,8.2336,0.633,1,0,0,0,0,0,0,0.0063,1.2,85.02,0.667653824,0.029388613,1949037.375,90,29.97000003,19.98125005,0,0,0,0,0,639.9699936,64.16604138
20150213_OAN_FLOW_017#47#400#10,40034,20150213_OAN_FLOW_017,47,OAN-KNP00160,KNP,S1,C1,400.019989,10.01000023,8.2336,0.633,1,0,0,0,0,0,0,0.0041,1.1,85.02,0,0,2013877.571,90.00428554,30.09857123,20.0400001,0,0,0,0,0,640.022862,66.85219845
20150213_OAN_FLOW_017#48#400#10,40794,20150213_OAN_FLOW_017,48,OAN-KNP00170,KNP,S1,C1,400.0100098,10.71000004,9,0.7,0,0,0,0,0,1,0,0.0114,1.3,85.02,0,0,1988044.125,90.01124954,29.80749989,20.16249991,0,0,0,0,0,639.9775009,64.32264804
20150213_OAN_FLOW_017#24#400#10,40770,20150213_OAN_FLOW_017,24,OAN-KNP00116,KNP,S3,C1,400.0100098,10.26000023,9,0.7,0,0,0,0,0,1,0,0.0798,1.4,85.02,0.028446272,0.002923224,2069771.143,89.99571446,30.11714281,20.07428578,0,0,0,0,0,639.9656982,66.69872884
