reactorPressure,catalyst,support,mass,ratioCat2support,RunName.reactor,ElapsedRunTime,ActualTempBlock,RunName,CatalystID,ratioPromTot2cat,origin,ArgonArea,p1,N2flow120,p2,,,,,flow180,diluentN2flow300,,,,,,,,,,,,,,,,
9.920000076,C1,S1,0.0209,9,20150129_OAN_FLOW_016#7#350#10,48.40484428,350.0100098,20150129_OAN_FLOW_016,OAN-KNP00171,0.4,KNP,1981156.667,0,29.96333313,0,,,,,0,639.9899902,,,,,,,,,,,,,,,,
10.40999985,C1,S2,0.0191,2,20150129_OAN_FLOW_016#8#350#10,48.48314794,349.9899902,20150129_OAN_FLOW_016,OAN-FIS00002,0.9,FIS,2019217.667,0,30.0066665,1,,,,,0,640.0050049,,,,,,,,,,,,,,,,
10.17000008,C2,S3,0.0148,5,20150129_OAN_FLOW_016#10#350#10,48.63999112,350,20150129_OAN_FLOW_016,OAN-DFK00391,0.7,DFK,1996940,0,30.01666673,0,,,,,0,639.9850057,,,,,,,,,,,,,,,,
10.47000027,C2,S3,0.0268,9,20150129_OAN_FLOW_016#11#350#10,48.71829669,349.980011,20150129_OAN_FLOW_016,OAN-DFK00390,0.7,DFK,2063381.5,0,30.03833326,0,,,,,0,640.0149943,,,,,,,,,,,,,,,,
10.06000042,C2,S3,0.0024,9,20150129_OAN_FLOW_016#12#350#10,48.79660035,350,20150129_OAN_FLOW_016,OAN-DFK00387,0.7,DFK,1949668,0,29.93499946,0,,,,,0,640.0100098,,,,,,,,,,,,,,,,
9.979999542,C2,S1,0.0162,5,20150129_OAN_FLOW_016#13#350#10,48.87490336,350.0299988,20150129_OAN_FLOW_016,OAN-DFK00425,0.4,DFK,2181555.5,0,29.91666667,0,,,,,0,640.0150045,,,,,,,,,,,,,,,,
10,C1,S3,0.0174,10,20150129_OAN_FLOW_016#14#350#10,48.95320892,349.980011,20150129_OAN_FLOW_016,OAN-KNP00123,1,KNP,2024164.167,0.3333,29.96499952,0.3333,,,,,0,640.0500082,,,,,,,,,,,,,,,,
10.27999973,C1,S1,0.0133,5,20150129_OAN_FLOW_016#15#350#10,47.10915222,350.019989,20150129_OAN_FLOW_016,OAN-KNP00159,0.4,KNP,2010431.2,0.5,30.02000008,0,,,,,0,640.0360108,,,,,,,,,,,,,,,,
10.21000004,C1,S4,0.0149,9,20150129_OAN_FLOW_016#16#350#10,47.18745727,349.9899902,20150129_OAN_FLOW_016,OAN-KNP00143,0.7,KNP,2050866.4,0,29.97600021,0,,,,,0,639.9939941,,,,,,,,,,,,,,,,
10.22000027,C1,S4,0.0126,9,20150129_OAN_FLOW_016#17#350#10,47.26576156,350.019989,20150129_OAN_FLOW_016,OAN-KNP00147,0.7,KNP,2124318.2,0,30.10600014,0,,,,,0,639.9879761,,,,,,,,,,,,,,,,
9.489999771,C2,S3,0.0609,6.0506,20150129_OAN_FLOW_016#18#350#10,47.34406738,350,20150129_OAN_FLOW_016,OAN-DFK00376,0.5517,DFK,2001796.6,0,29.97599983,1,,,,,0,639.9699951,,,,,,,,,,,,,,,,
10.31999969,C1,S2,0.0184,2,20150129_OAN_FLOW_016#19#350#10,47.4223732,349.9599915,20150129_OAN_FLOW_016,OAN-FIS00002,0.9,FIS,2002890,0,29.82600021,1,,,,,0,639.9880005,,,,,,,,,,,,,,,,
10.38000011,C2,S3,0.0193,5,20150129_OAN_FLOW_016#21#350#10,47.57898178,349.9899902,20150129_OAN_FLOW_016,OAN-DFK00382,0.7,DFK,1962622.4,0,30.06999969,0,,,,,0,640.0000122,,,,,,,,,,,,,,,,
10.35999966,C1,S3,0.0256,9,20150129_OAN_FLOW_016#22#350#10,47.6572876,350.0100098,20150129_OAN_FLOW_016,OAN-KNP00119,0.4,KNP,2035172.8,0,30.00800019,0,,,,,0,640.0059937,,,,,,,,,,,,,,,,
10.31000042,C1,S3,0.0101,9,20150129_OAN_FLOW_016#23#350#10,47.73559265,350,20150129_OAN_FLOW_016,OAN-KNP00118,0.4,KNP,1779226.4,0,29.93200035,0,,,,,0,639.9759888,,,,,,,,,,,,,,,,
10.06999969,C1,S4,0.0197,9,20150129_OAN_FLOW_016#24#350#10,46.8528347,350,20150129_OAN_FLOW_016,OAN-KNP00141,0.4,KNP,2084191.75,0,29.9375,0,,,,,0,640.0375061,,,,,,,,,,,,,,,,
10.09000015,C1,S1,0.0174,9,20150129_OAN_FLOW_016#25#350#10,47.89220199,350.0100098,20150129_OAN_FLOW_016,OAN-KNP00168,0.4,KNP,2018237,0,30.10799942,0,,,,,0,640.0119995,,,,,,,,,,,,,,,,
10.22999954,C1,S3,0.0284,9,20150129_OAN_FLOW_016#26#350#10,46.04837799,350.0599976,20150129_OAN_FLOW_016,OAN-KNP00117,0.4,KNP,2039074.75,0,30.09500027,0,,,,,0,639.9775085,,,,,,,,,,,,,,,,
10.27000046,C1,S4,0.0104,9,20150129_OAN_FLOW_016#27#350#10,48.04881134,349.980011,20150129_OAN_FLOW_016,OAN-KNP00142,0.7,KNP,2084621.4,0,30.01199989,0,,,,,0,640.0180054,,,,,,,,,,,,,,,,
10.38000011,C2,S1,0.0394,6.0506,20150129_OAN_FLOW_016#28#350#10,48.12711563,349.9899902,20150129_OAN_FLOW_016,OAN-DFK00420,0.5517,DFK,1975236.8,0,30.04999962,0,,,,,0,640,,,,,,,,,,,,,,,,
9.960000038,C2,S3,0.0025,10,20150129_OAN_FLOW_016#29#350#10,48.20542068,350.0400085,20150129_OAN_FLOW_016,OAN-DFK00371,0.1,DFK,2120777.8,0.5,30.09199943,0,,,,,0,640.0240112,,,,,,,,,,,,,,,,
10.5,C1,S3,0.0364,8.2336,20150129_OAN_FLOW_016#30#350#10,48.28372421,349.9700012,20150129_OAN_FLOW_016,OAN-KNP00108,0.633,KNP,1706296.4,0,29.92000008,0,,,,,0,640.0560059,,,,,,,,,,,,,,,,
10.46000004,C2,S1,0.0164,9,20150129_OAN_FLOW_016#31#350#10,48.36202927,350.0100098,20150129_OAN_FLOW_016,OAN-DFK00427,0.7,DFK,1806940.6,0,29.9619999,0,,,,,0,639.9759888,,,,,,,,,,,,,,,,
